>>> repeatability probe start 2026-08-17 05:35:53
[preflight] custody controls verified for 1 problem(s); keys sealed and unreadable by execution
[phase: development] results are for post-mortems and convergence checking, NOT for the paper's evaluation table.
2026-08-17 05:51:02,639 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-08-17 05:51:02,639 [oasis.dune] INFO: DUNE-fem backend registered
2026-08-17 05:51:02,641 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
2026-08-17 05:51:02,643 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-08-17 05:51:02,643 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-08-17 05:51:02,643 [oasis] INFO: Starting OASiS MCP server
2026-08-17 05:51:02,644 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-08-17 05:51:02,644 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-08-17 05:51:02,644 [oasis] INFO: Starting OASiS MCP server
2026-08-17 05:51:02,644 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-08-17 05:51:02,650 [oasis] INFO: Session journal saved: /home/alexander/Schreibtisch/ofa-v2/data/sessions/session_09c0f375-9139-4e79-a9cf-bd8dfd1b3032.json (1 events)
2026-08-17 05:51:02,651 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
2026-08-17 05:51:02,651 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
2026-08-17 05:51:02,655 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-08-17 05:51:02,661 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-08-17 05:51:02,667 [oasis] INFO: Session journal saved: /home/alexander/Schreibtisch/ofa-v2/data/sessions/session_15fa7ca1-b71b-4aad-9075-3d59139390cc.json (1 events)
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
2026-08-17 05:51:15,571 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-08-17 05:51:15,572 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-08-17 05:51:15,572 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-08-17 05:51:15,573 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-08-17 05:51:15,576 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-08-17 05:51:15,579 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-08-17 05:51:15,579 [oasis.ngsolve] INFO: NGSolve backend registered
2026-08-17 05:51:15,581 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-08-17 05:51:15,581 [oasis.skfem] INFO: scikit-fem backend registered
2026-08-17 05:51:15,585 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-08-17 05:51:15,585 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-08-17 05:51:15,588 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-08-17 05:51:15,588 [oasis.dune] INFO: DUNE-fem backend registered
2026-08-17 05:51:15,593 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-08-17 05:51:15,593 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-08-17 05:51:15,593 [oasis] INFO: Starting OASiS MCP server
2026-08-17 05:51:15,601 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
2026-08-17 05:51:15,608 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-08-17 05:51:15,613 [oasis] INFO: Session journal saved: /home/alexander/Schreibtisch/ofa-v2/data/sessions/session_f5b342d7-51d3-484f-a00f-74b9b290ed29.json (1 events)
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
2026-08-17 05:51:21,771 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-08-17 05:51:21,772 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-08-17 05:51:21,773 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-08-17 05:51:21,774 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-08-17 05:51:21,779 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-08-17 05:51:21,782 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-08-17 05:51:21,782 [oasis.ngsolve] INFO: NGSolve backend registered
2026-08-17 05:51:21,784 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-08-17 05:51:21,784 [oasis.skfem] INFO: scikit-fem backend registered
2026-08-17 05:51:21,788 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-08-17 05:51:21,788 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-08-17 05:51:21,790 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-08-17 05:51:21,790 [oasis.dune] INFO: DUNE-fem backend registered
2026-08-17 05:51:21,796 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-08-17 05:51:21,796 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-08-17 05:51:21,796 [oasis] INFO: Starting OASiS MCP server
2026-08-17 05:51:21,803 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
2026-08-17 05:51:21,808 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
2026-08-17 05:52:00,677 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-08-17 05:52:00,678 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-08-17 05:52:00,679 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-08-17 05:52:00,679 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-08-17 05:52:00,683 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-08-17 05:52:00,685 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-08-17 05:52:00,685 [oasis.ngsolve] INFO: NGSolve backend registered
2026-08-17 05:52:00,688 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-08-17 05:52:00,688 [oasis.skfem] INFO: scikit-fem backend registered
2026-08-17 05:52:00,692 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-08-17 05:52:00,692 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-08-17 05:52:00,694 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-08-17 05:52:00,694 [oasis.dune] INFO: DUNE-fem backend registered
2026-08-17 05:52:00,699 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-08-17 05:52:00,699 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-08-17 05:52:00,699 [oasis] INFO: Starting OASiS MCP server
2026-08-17 05:52:00,707 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
2026-08-17 05:52:00,712 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-08-17 05:52:00,718 [oasis] INFO: Session journal saved: /home/alexander/Schreibtisch/ofa-v2/data/sessions/session_9bfd0ebf-69dc-4428-9ee1-b1c5f45fe07e.json (1 events)
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:290: LangGraphDeprecatedSinceV10: create_react_agent has been moved to `langchain.agents`. Please update your import to `from langchain.agents import create_agent`. Deprecated in LangGraph V1.0 to be removed in V2.0.
  sub_agent = create_react_agent(
2026-08-17 05:52:56,935 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-08-17 05:52:56,936 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-08-17 05:52:56,937 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-08-17 05:52:56,937 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-08-17 05:52:56,941 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-08-17 05:52:56,942 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-08-17 05:52:56,943 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-08-17 05:52:56,943 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-08-17 05:52:56,944 [oasis.ngsolve] INFO: NGSolve backend registered
2026-08-17 05:52:56,944 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-08-17 05:52:56,944 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-08-17 05:52:56,946 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-08-17 05:52:56,946 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-08-17 05:52:56,946 [oasis.skfem] INFO: scikit-fem backend registered
2026-08-17 05:52:56,947 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-08-17 05:52:56,948 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-08-17 05:52:56,948 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-08-17 05:52:56,948 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-08-17 05:52:56,950 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-08-17 05:52:56,950 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-08-17 05:52:56,951 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-08-17 05:52:56,951 [oasis.ngsolve] INFO: NGSolve backend registered
2026-08-17 05:52:56,952 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-08-17 05:52:56,952 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-08-17 05:52:56,952 [oasis.dune] INFO: DUNE-fem backend registered
2026-08-17 05:52:56,954 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-08-17 05:52:56,954 [oasis.skfem] INFO: scikit-fem backend registered
2026-08-17 05:52:56,954 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-08-17 05:52:56,954 [oasis.ngsolve] INFO: NGSolve backend registered
2026-08-17 05:52:56,957 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-08-17 05:52:56,957 [oasis.skfem] INFO: scikit-fem backend registered
2026-08-17 05:52:56,958 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-08-17 05:52:56,958 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-08-17 05:52:56,958 [oasis] INFO: Starting OASiS MCP server
2026-08-17 05:52:56,958 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-08-17 05:52:56,958 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-08-17 05:52:56,960 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-08-17 05:52:56,960 [oasis.dune] INFO: DUNE-fem backend registered
2026-08-17 05:52:56,961 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
